SOAR_NM,FP_UNIT_DESC,FP_DVSN_DESC,FP_DEPT_DESC,FP_CATG_GRP_DESC,CATG_DESC,sub_catg_desc,sortkey,nKSNID,nTRS,Revenue
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,2014 SOFIA VERGARA    ,03-130-0153-0299-0031-41,421,"122,036.00","718,608.24"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,ATTENTION MULTIPLE EARRIN,03-130-0153-0299-0031-27,229,"145,542.00","955,771.05"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,ATTN SENSITIVE EARRINGS,03-130-0153-0299-0031-52,297,"186,813.00","913,704.89"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,BONGO,03-130-0153-0299-0031-50,"1,282","290,534.00","1,467,455.82"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,JACLYN SMITH FASHION,03-130-0153-0299-0031-26,479,"272,251.00","1,629,578.41"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,JOE BOXER,03-130-0153-0299-0031-14,774,"291,016.00","1,613,212.24"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,JS CLIP EARRINGS,03-130-0153-0299-0031-53,265,"150,040.00","791,923.90"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,JS CUBIC ZIRCONIA TOWER,03-130-0153-0299-0031-08,133,"124,587.00","1,434,067.02"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,JS NECK AND EAR SETS,03-130-0153-0299-0031-12,221,"101,458.00","822,449.86"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,LOOK OF REAL RINGS,03-130-0153-0299-0031-07,532,"206,818.00","1,493,530.05"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,FASHION COSTUME JEWELRY,FASHION COSTUME JEWELRY,RED TAG (K&M),03-130-0153-0299-0031-49,10,"264,412.00","905,079.33"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,JEWELRY BOXES,JEWELRY BOXES,$29.99 JEWELRY BOXES,03-130-0153-0297-0071-14,40,"103,435.00","1,194,474.72"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,HOLIDAY MOTIF EARRINGS,03-130-0153-0800-0032-06,100,"242,428.00","1,239,918.65"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,HOLIDAY MOTIF PINS,03-130-0153-0800-0032-07,47,"106,432.00","508,133.59"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,JS FASHION BRACELETS,03-130-0153-0800-0032-04,109,"333,414.00","1,488,903.97"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,JS FASHION NECK/EAR,03-130-0153-0800-0032-03,121,"235,192.00","1,438,496.40"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,JS FASION 3PC SETS,03-130-0153-0800-0032-05,90,"122,416.00","775,043.68"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,JS INITIAL NECK/EAR,03-130-0153-0800-0032-09,82,"193,244.00","853,866.44"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,JS PINS,03-130-0153-0800-0032-13,54,"120,283.00","648,645.09"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,COSTUME JEWELRY,SEASONAL COSTUME,SEA/ BOXED COSTUME,PIPER MULTIPLE SETS,03-130-0153-0800-0032-20,65,"122,570.00","732,081.46"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,FABRIC HANDBAGS,FABRIC HANDBAGS,JACLYN SMITH FABRIC,03-130-0173-0847-0082-06,122,"134,842.00","1,897,377.13"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,FABRIC HANDBAGS,FABRIC HANDBAGS,JOE BOXER,03-130-0173-0847-0082-11,272,"174,590.00","2,318,769.21"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,FABRIC HANDBAGS,FABRIC HANDBAGS,TREVISO FABRIC,03-130-0173-0847-0082-01,137,"140,271.00","1,902,445.62"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,LEATHER HANDBAGS,LEATHER HANDBAGS,PATCHED LEATHER,03-130-0173-0848-0083-16,82,"104,753.00","1,557,078.87"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,ATTENTION,03-130-0173-0846-0081-20,318,"175,806.00","2,862,649.10"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,BONGO VINYL,03-130-0173-0846-0081-05,250,"153,553.00","2,193,107.58"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,JACLYN SMITH,03-130-0173-0846-0081-02,408,"292,957.00","4,288,973.93"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,JOE BOXER VINYL,03-130-0173-0846-0081-17,234,"138,580.00","1,940,071.65"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,ORGANIZERS VINYL,03-130-0173-0846-0081-03,158,"168,716.00","2,497,219.09"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,VINYL,VINYL HANDBAGS,TREVISO VINYL,03-130-0173-0846-0081-04,436,"390,300.00","6,155,121.98"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,HANDBAGS,WALLETS,LADIES WALLETS,VINYL WALLETS,03-130-0173-0372-0085-01,423,"222,392.00","2,242,554.93"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,SUNGLASSES,ADULT SUNGLASSES,ADULT SUN GLASSES,BONGO $9.99,03-130-0403-0314-0051-17,115,"117,660.00","1,068,620.23"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,SUNGLASSES,ADULT SUNGLASSES,ADULT SUN GLASSES,JACLYN SMITH $12.99    ,03-130-0403-0314-0051-02,218,"172,555.00","2,025,374.46"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,SUNGLASSES,ADULT SUNGLASSES,ADULT SUN GLASSES,SOLAR SHIELDS,03-130-0403-0314-0051-13,158,"114,033.00","1,613,234.10"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,COLD WEATHER GLOVES,GLOVES,F LEATHER GLOVES,03-130-0170-0845-0053-06,82,"130,888.00","1,472,719.87"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,COLD WEATHER GLOVES,GLOVES,F MAGIC GLOVES,03-130-0170-0845-0053-02,195,"1,955,318.00","3,976,655.24"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,COLD WEATHER GLOVES,GLOVES,FABRIC,03-130-0170-0845-0053-03,49,"259,103.00","918,589.22"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,HATS,HATS,F KNIT,03-130-0170-0840-0092-17,124,"160,379.00","1,298,574.86"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,HATS,HATS,FASHION / MISC,03-130-0170-0840-0092-10,319,"248,554.00","1,738,352.38"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,HATS,HATS,MILITARY / CABBIE,03-130-0170-0840-0092-32,217,"198,512.00","1,405,394.10"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,HATS,HATS,PROMO $2.99 BASEBALL CAPS,03-130-0170-0840-0092-29,29,"104,230.00","316,819.61"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,HATS,HATS,STRAW,03-130-0170-0840-0092-04,208,"212,565.00","1,670,047.20"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,COORDINATES,03-130-0170-0371-0095-04,334,"868,982.00","4,031,521.43"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,F EARMUFF,03-130-0170-0371-0095-01,38,"111,720.00","497,761.24"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,F FLEECE,03-130-0170-0371-0095-02,56,"209,583.00","642,907.65"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,F FUR,03-130-0170-0371-0095-08,67,"180,909.00","1,361,263.57"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,F SETS,03-130-0170-0371-0095-11,91,"368,246.00","2,937,273.26"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,KNITWEAR,KNITWEAR,MUFFLERS,03-130-0170-0371-0095-12,77,"181,295.00","1,317,180.71"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,SCARVES,SCARVES,S OBLONG SCARVES,03-130-0170-0841-0093-01,496,"556,801.00","3,745,505.00"
APPAREL ACCESSORIES    ,APPAREL,ACCESSORIES,WOMENS ACCESSORIES,UMBRELLAS,UMBRELLAS,B B UMBRELLAS,03-130-0170-0837-0044-01,71,"336,472.00","4,360,694.52"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY ACCESSORIES,BOYS ACCESSORIES,BOYS BELTS,03-049-0206-0538-0088-01,156,"129,960.00","1,113,565.85"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY DENIM,BOYS DENIM,BE RELAXED,03-049-0206-0539-0097-03,40,"128,956.00","1,417,488.76"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY DENIM,BOYS DENIM,F RT 66 FASHION JEANS,03-049-0206-0539-0097-19,262,"259,580.00","3,246,174.55"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY DENIM,BOYS DENIM,RT66 BOOTCUT,03-049-0206-0539-0097-40,20,"115,964.00","1,512,580.66"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY DENIM,BOYS DENIM,RT66 SLIM STRAIGHT,03-049-0206-0539-0097-02,24,"107,435.00","1,415,820.01"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY DENIM,BOYS DENIM,SK2 FASHION DENIM,03-049-0206-0539-0097-09,170,"141,295.00","2,221,288.23"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY KNIT TOPS,KNIT TOPS,BMS BE POLO BASIC 7.99,03-049-0206-0939-0071-01,116,"271,241.00","2,379,886.59"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY KNIT TOPS,KNIT TOPS,BOYS PREMIUM TEES,03-049-0206-0939-0071-11,477,"192,079.00","1,325,598.46"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY KNIT TOPS,KNIT TOPS,CENA L/S FASHION KNITS,03-049-0206-0939-0071-13,102,"100,553.00","916,537.80"
APPAREL CHILDRENS      ,APPAREL,KIDSWORLD,BOYS,BOY KNIT TOPS,KNIT TOPS,EGP BE CREW BASIC 4.98,03-049-0206-0939-0071-27,198,"216,069.00","1,114,188.50"
